"Data Source","World Development Indicators",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Bahrain","BHR","Gross capital formation (annual % growth)","NE.GDI.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.252896459422445","-0.607660300330508","19.0199121402023","13.7424383707732","28.0962430336754","23.9633062656502","29.4541983572169","18.2083645800264","-28.8157363439733","12.2271599262452","-4.67667942459636","8.18447831593659","13.999569388936","4.66024918404324","-7.09133869812608","15.6217754955874","15.1849295112905","6.72712978682193","-4.95226280863275","-7.34985604559313","-39.0260540952771","14.2114257599894","59.7940067838796","3.45045393244305","",
"Bahamas, The","BHS","Gross capital formation (annual % growth)","NE.GDI.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-3.09379275081243","-4.05084862347299","-7.66855596498809","-18.5900589826853","16.4916264488612","12.3063459379672","15.1118429749364","35.5090516012788","26.5411192953148","-9.94947252193325","19.4555139431257","-11.4833051925351","3.81078026461184","5.02066140788979","-8.03903130828876","22.0493328416253","19.6776530615749","-3.17832837944846","-7.67623788781225","-13.2839054450917","-7.49804757621855","14.4806917441251","27.4164741409742","-10.6350294884104","12.9504573638652","-18.0123379623339","5.30345719115648","10.4221096037017","-6.3084378563284","2.03547631362765","-29.4072041984733","22.3705330742587","5.73351743182602","5.62828507068002","19.7743779941276","",
"Bosnia and Herzegovina","BIH","Gross capital formation (annual % growth)","NE.GDI.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.2211745961058","8.97537039104712","2.62579941577022","8.81426123882343","7.06170463539139","-0.69041540887136","32.1913832299745","15.6500333186507","-25.9511355360495","-6.61696824715906","3.08947254169125","2.25855527208651","-2.78418999894483","9.29658918440195","2.93087301867926","13.0608941503478","10.7533594500812","3.93074212739275","6.11058995046353","-8.35295366135358","21.6512768687963","3.68309294902203","3.01314247968494","8.73548593075321","",
"Belarus","BLR","Gross capital formation (annual % growth)","NE.GDI.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.2999866792072","-16.0999944747786","-6.29999405828599","-29.4000133896947","-28.7000056276807","7.20001307578512","15.8999964684702","6.90002943660679","-16.0000196790636","14.7000148269912","1.89390335786635","2.4367542440425","25.8528129509533","29.3135119706106","13.1626365784528","32.3307392288259","16.3490659783498","28.3152303325801","-3.08132297278598","18.737280652728","7.77052285949698","-6.76938954488006","8.73056509834791","-5.39158691544183","-18.2820445770006","-12.1681907766077","8.55764648194403","4.4050688413313","6.98276361693459","-5.82294389177906","-6.66932534275392","-15.5229000855156","15.7155147691425","7.22222222222221","",
"Belize","BLZ","Gross capital formation (annual % growth)","NE.GDI.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","0.600967841687734","-31.692525474952","2.14250704772054","30.3274396303913","-8.05011137123266","2.2787104292012","26.3877342318813","27.9981372606089","33.2768110518602","-6.9087844856665","23.3320360812966","5.07933414555805","14.090822585722","-23.5472965853982","9.54915062584062","-3.70879675585734","-0.296728086496884","-1.64020891362449","36.9112551762123","29.7235667004474","-6.64216494564643","-4.38171635734727","-13.4609901454868","-5.77268155064384","9.81243070451836","0.758030486498967","5.95078385916439","20.5673195179513","-23.8578440117865","-8.03813819390558","-20.0708811425818","12.7921545807163","12.2646697053801","26.410587306132","2.82078229870821","10.9896038822956","-15.545131277588","8.01909257072795","5.99069629101017","-5.15088184478476","28.2661939510522","2.02857047669862","1.6426834063852","4.5179563506683","",
"Bermuda","BMU","Gross capital formation (annual % growth)","NE.GDI.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.22568165364886","15.4504494754683","7.38357517078605","-1.65743228310384","11.706437014334","-24.6764370003807","9.67782691092862","-3.21391544752908","-2.04713163532493","3.31713244228433","",
"Bolivia","BOL","Gross capital formation (annual % growth)","NE.GDI.TOTL.KD.ZG","","-19.0399999340303","62.055335981344","1.49253725778324","5.33088234078572","19.0226876847258","4.25219940158179","-6.54008441631073","38.1489842217279","-6.04575160461462","2.26086955531579","12.1416294255373","33.3946416065603","-16.4766982275214","-14.9012270708373","63.7439379399592","-19.0261817499869","8.44184343784096","29.7940277284785","-12.92401511224","-28.1445055746142","-0.781457837938433","-23.5109860358921","-11.1396194386292","39.2943294329574","26.823132128584","-30.4998604670589","17.5154500221752","3.83087081265421","-15.1200165403873","17.6841801328112","29.2870276058478","5.32272815216253","-0.0691267470803751","-10.6023188155725","12.3087508742613","18.7876781776407","30.233525746543","28.5100854500928","-18.7621103426448","-7.37737642966223","-17.4691363299711","17.861235692652","-12.8278090331252","-11.8449432486852","26.865588245779","-5.09007819860345","11.0564819448654","29.3133368862411","3.87875423570357","7.14702116990816","25.8516439172133","-6.6099285626433","16.0445582043405","12.5100399616791","0.815876879372965","9.86204002878057","15.8526159409553","4.23642467810291","-2.12083613421818","-34.1905531012236","13.2946583067022","3.68014539692896","6.3753920523795","-10.4809117342549","",
"Brazil","BRA","Gross capital formation (annual % growth)","NE.GDI.TOTL.KD.ZG","","","","","","","","","","","","14.1142497556112","16.5071748041019","24.5798042546392","16.4867508251901","10.1192037863812","0.662378834267145","-0.0198047982652838","3.15114136525511","0.28077895467284","16.7711668234519","-12.8845750667378","-9.01648515749449","-22.5567152748402","2.07580803811828","30.5534396297444","9.53402801226078","-1.47330937325336","-4.93260464576589","1.19783200837776","-10.9049574006306","8.95564473339314","-8.57459312159141","14.2820673649586","13.032375094627","8.09305124765936","6.30122027845094","10.022527090835","-0.952785038060284","-10.6512228473062","10.4221604633678","-0.660512832977815","-6.77448366161326","-2.69267128991216","10.3220095783426","-2.49738958690844","8.47488193049443","15.9154219153784","14.2229867969994","-14.4974902868413","28.7945549269909","5.72898345778749","-2.54490939603293","5.87758973145543","-5.40795708909255","-19.1588426950112","-13.945116881425","2.58692154418254","3.45589800293835","1.35896140844685","-4.13856802458838","21.8005641134783","4.74053399585837","-8.12811076446373","11.5445117173992","",
"Barbados","BRB","Gross capital formation (annual % growth)","NE.GDI.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Gross capital formation (annual % growth)","NE.GDI.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.40879504687506","18.0787582502318","21.7281464263941","-10.045661929184","8.4909996081217","86.2186336018433","-38.008222740149","-12.9329420407299","-19.8899690496875","-28.633339062282","6.56779746924762","62.6393650303509","-29.4707171205919","2.25200441996749","0.341610599700743","3.16411019895284","34.9091075326501","13.19779532252","-1.10995560372214","-5.27982370587753","37.0035764056467","28.8118293266784","11.9463870358827","-31.1548433590255","6.55174012512528","-11.0955549588404","7.97940466977445","28.0648876871135","-4.38194481188727","-9.26396336977952","-13.8171908997983","-1.77073577475196","0.213082779745719","-4.66115390315066","",
"Bhutan","BTN","Gross capital formation (annual % growth)","NE.GDI.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-11.8778100243808","33.5964470096688","18.3980518674551","23.913348380656","-5.41938971278762","-3.63076586884267","1.90406123986023","-0.584512335386322","25.9351916887147","26.4549584955763","23.4718068721401","26.5207243080688","0.81896243898349","5.42033509285507","-3.52674371843464","-7.82980131507533","-13.9336510559771","27.3746684828335","26.2286773124649","44.2416855092823","12.0413663380134","3.34640106177353","-13.3143002751109","-8.16063960586028","16.4853469286296","11.070815055425","-1.38372543516255","-0.465803607317255","-7.42079900550192","-21.8454015472951","19.9576237271509","30.1026286680641","-12.5117876896262","","",
"Botswana","BWA","Gross capital formation (annual % growth)","NE.GDI.TOTL.KD.ZG","","","","","","","","","","","","","","","","","-15.2948834135018","0.650122068565523","28.0941765437393","24.8495411215398","16.7593135993671","10.9503451616945","-8.01233865027665","-15.9590344607028","19.1717233330851","-7.45605897352942","-6.73560882070743","-31.2492111414086","101.434969331252","106.913662516226","8.88641808448578","-10.9562774637893","-8.85716820560127","1.9260869845444","-4.62836513865462","8.35265736270144","-0.467940904647818","1.21485214590946","71.042495817019","-23.9271928379805","34.2646411559757","-2.4031868217277","2.72278236176689","3.54451592863623","23.9311024023881","-16.3013397808574","14.7309707580475","39.179916248404","195.452140215445","-24.4606411607112","27.1060781573031","27.11017374837","-4.05074255250501","-22.8602954696672","12.4125174075627","11.5365537424952","-9.77075051075585","13.9140129716815","-0.674469384147997","24.4576203359707","7.80233454176324","-7.66548626075104","-6.58257925779382","19.2590041887325","14.0092867338369","",
"Central African Republic","CAF","Gross capital formation (annual % growth)","NE.GDI.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.6851234420894","-23.339386769349","-22.3995910904909","-26.8664656854052","92.2595953997506","16.2392007423223","48.4720489192352","-27.9628546969286","7.09471402795592","-9.53855373190858","5.8098041281867","-13.1804779682582","-4.53478751667765","-1.52924906046721","4.9294854095681","",
"Canada","CAN","Gross capital formation (annual % growth)","NE.GDI.TOTL.KD.ZG","","","","","","","","","","","","8.50841133710331","5.99000248347485","12.4433789224124","11.0308055784787","-0.192081868618672","6.67272513703597","0.354812782729425","0.424469171735183","13.7732473977407","-3.34443470238708","8.63863659421342","-22.0806946773681","8.63463637058008","11.6101854625075","8.70735826840954","2.63029839646767","8.2598282643481","11.222820540329","5.13448153064975","-7.98098033094989","-7.43177306006837","-3.42739601239495","3.6420777905722","8.95735357219559","3.11393715471826","0.581770170269309","15.9621307550158","1.6020013933403","5.39909673147795","8.32645596149683","-3.18427344512867","2.28894261765879","9.47451798416029","8.69986367945053","11.147485860904","5.69921649403318","2.95804890327931","1.72265220330567","-13.829511521302","12.3356979936843","7.97393822552428","3.57317261158103","3.63712771011843","0.830718127726087","-6.88828157012763","-4.7680591858195","7.44978045389546","2.29994782080254","-0.0617576129252342","-8.92444761092376","13.8894037314945","6.40080834852856","-5.72058304577311","-2.05878466068175","",
