year,gdp_growth(%),gdp_growth_lag1(%),gdp_growth_lag2(%),household_consumption(%)_lag1,unemployment_rate(%)_lag1,under_earning_percentage(%)_lag1,inflation_rate(%)_lag1,lending_interest_rate(%)_lag1,fdi_net_flows(US$)_lag1,tax_revenue_percentage(%)_lag1,state_revenues_percentage(%)_lag1,gross_capital_formation_growth(%)_lag1,import_of_goods_and_services(US$)_lag1,export_of_goods_and_services(US$)_lag1,exchange_rate(IDR/US$)_lag1
1994,7.53997109551439,6.49640812045304,6.49750651682714,67.5353073209132,2.782,78.0,9.6719108926401,20.5866666666667,2004000000.0,14.3564203316314,17.0776630668472,38.4507623296129,37555937063.1049,42274397859.4989,2087.10386666667
1995,8.22000739903493,7.53997109551439,6.49640812045304,67.796950288015,4.366,65.59706000559368,8.53199829189143,17.76,2109000000.0,15.9484191945104,18.1555267821099,36.4000631567372,44869883142.4274,46896633113.5023,2160.753675
1996,7.81818707670867,8.22000739903493,7.53997109551439,69.4061196341324,4.611,69.51579275359694,9.42030300572996,18.8516666666667,4346000000.0,14.9647722699912,17.6918603845293,7.80078839855169,55882279823.789,53185312942.0389,2248.607975
1997,4.69987885390397,7.81818707670867,8.22000739903493,69.9241411425395,4.861,68.1,7.97328096513346,19.2175,6194000000.0,14.234801940785,16.9535157951661,-52.0801324341708,60116979037.698,58717201041.7111,2342.29629166667
1998,-13.1267254923818,4.69987885390397,7.81818707670867,68.5240685057953,4.684,58.154335048627395,6.22615154887214,21.8175,4677000000.0,16.0118484144708,18.137718939652,-25.7726506180931,60700151259.0363,60106038403.5787,2909.38
1999,0.79112608199847,-13.1267254923818,4.69987885390397,73.4749598091977,5.459,82.8,58.4510413515526,32.1541666666667,-240800000.0,15.0275881804252,16.466714482343,-164.509353333391,41249712041.6119,50555726234.5501,10013.6225
2000,4.9200677470169,0.79112608199847,-13.1267254923818,80.5482537739208,6.358,66.2,20.4778324428892,27.6625,-1865620963.49086,16.3158356093432,18.0599793622371,85.7266702352875,38402067922.3448,49720260589.8075,7855.15
2001,3.64346644721492,4.9200677470169,0.79112608199847,68.1823660161297,6.077,65.7,3.68862037056682,18.455,-4550355285.71428,13.947010096459,18.379341144562503,49.33297830538,50264686469.7912,67621169165.827,8421.775
2002,4.49947539085764,3.64346644721492,4.9200677470169,70.0392207599728,6.082,62.3,11.5001160550887,18.5475,-2977391857.14286,11.5781845835748,18.6987029268879,29.1054605130227,49355195402.1429,62625875833.9076,10260.85
2003,4.78036912167654,4.49947539085764,3.64346644721492,74.8796953662173,6.604,46.8,11.9001200338414,18.945,145085548.722222,11.8269595891699,17.4443672511438,-79.3543251237206,51638437160.6839,63956798804.501,9311.19166666667
2004,5.03087394501685,4.78036912167654,4.49947539085764,76.2675061799955,6.657,45.5,6.75731256333564,16.935,-596923827.786241,12.3855319027215,17.323473226707,435.615999731175,54323622341.4892,71553141044.9888,8577.13333333334
2005,5.69257130383384,5.03087394501685,4.78036912167654,75.0903498705608,7.303,45.4,6.06406189133648,14.1241666666667,1896082770.0,12.3307678952353,18.3655094623452,-53.7167774612698,70744690513.6428,82744351781.0167,8938.85
2006,5.50095178520348,5.69257130383384,5.03087394501685,72.4719978808204,7.945,41.1,10.4532001873347,14.0508333333333,8336257207.64285,12.575730378163701,18.721093096318278,41.2265216843464,85533801154.4002,97387627565.9961,9704.74166666666
2007,6.34502222667214,5.50095178520348,5.69257130383384,71.2962255101256,7.551,46.8,13.108670985346,15.9791666666667,4914201435.40071,12.8206928610921,19.07667673029135,-17.6564840338398,93411754075.7803,113143425287.798,9159.31666666667
2008,6.01370360009123,6.34502222667214,5.50095178520348,71.8891592159464,8.06,41.1,6.40656087966005,13.8616666666667,6928480000.0,13.065655344020499,19.432260364264422,-137.635083922357,109755093425.227,127226102177.005,9141.0
2009,4.62887118256153,6.01370360009123,6.34502222667214,69.045033648151,7.208,38.0,10.2266663272483,13.5983333333333,9318453649.82664,13.3106178269489,19.7878439982375,-17.9395926934929,146706628549.322,152090401421.802,9698.9625
2010,6.22385418062366,4.62887118256153,6.01370360009123,68.2919344557649,6.106,37.9,4.38641311792074,14.4983333333333,4877369178.4365,11.0577865188848,15.1082541024723,67.3893722391638,115216544854.096,130357798591.185,10389.9375
2011,6.16978420771008,6.22385418062366,4.62887118256153,65.2230907903388,5.614,34.1,5.13420639015885,13.2516666666667,15292009410.5099,11.4772705779934,15.1082541024723,-6.0630929781757,169158027610.42,183480562961.321,9090.43333333333
2012,6.03005065305615,6.16978420771008,6.22385418062366,64.482033724377,5.153,31.2,5.35604849112582,12.4033333333333,20564938226.7185,11.359079853090188,15.1082541024723,7.8704586374094,212996885266.843,235095129132.988,8770.43333333333
2013,5.5572636889101,6.03005065305615,6.16978420771008,65.6380348610401,4.468,26.6,4.2795142691943,11.795,21200778607.8726,11.01733246980772,15.1082541024723,10.9812348559631,229362102379.516,225744403267.742,9386.62916666667
2014,5.006668425755,5.5572636889101,6.03005065305615,66.3471823213083,4.336,27.2,6.41249457900391,11.6575,23281742361.5305,10.719320529797622,15.1082541024723,2.84675099016738,225519356299.674,218308408827.835,10461.24
2015,4.87632230022123,5.006668425755,5.5572636889101,66.5641423046024,4.049,25.7,6.39492882396559,12.605,25120732059.5134,10.124576053515213,15.1082541024723,5.65795232400761,217485215770.463,210820082831.806,11865.2112962963
2016,5.03306918280177,4.87632230022123,5.006668425755,67.1994316673313,4.514,21.6,6.36312061196646,12.6625,19779127976.9576,9.396496287399879,15.1082541024723,3.00234647066264,178863652305.893,182158298802.029,13389.4129365079
2017,5.06978590134916,5.03306918280177,4.87632230022123,67.3546109042107,4.301,18.0,3.52580452815451,11.8883333333333,4541713739.23769,9.256590965936532,15.1082541024723,4.98580582999408,170835000830.242,177886012744.865,13308.3268020542
2018,5.17429153955024,5.06978590134916,5.03306918280177,66.396144126226,3.783,14.8,3.80879857691949,11.0733333333333,20510310832.4469,8.945110212569848,15.1082541024723,5.69016067744666,194777319195.676,204924485909.157,13380.8338788891
2019,5.01928768046282,5.17429153955024,5.06978590134916,66.001127436428,4.387,12.5,3.19834755924996,10.5366666666667,18909826043.5105,8.446253610780708,15.1082541024723,8.52394066301368,230045612385.068,218905647886.556,14236.9387734818
2020,-2.06551182934165,5.01928768046282,5.17429153955024,66.7389358667773,3.59,10.8,3.03058460941661,10.3658333333333,24993551748.0098,8.479458932791196,15.1082541024723,2.35984713910671,213034646334.827,208057763659.252,14147.6713605454
2021,3.70288562827751,-2.06551182934165,5.01928768046282,68.5896428146991,4.255,9.8,1.91983527270793,9.54416666666667,19175077747.8077,8.480795819732847,15.1082541024723,-6.89722578137714,165646843301.933,183546577017.375,14582.2034678177
2022,5.30719722664799,3.70288562827751,-2.06551182934165,64.8757548002977,3.827,8.6,1.56007882983334,8.9225,21213080329.8582,8.078380088845869,15.1082541024723,4.07467247380472,222923845055.988,254109508154.492,14308.1439011897
2023,5.04902331835997,5.30719722664799,3.70288562827751,60.7347249897885,3.462,7.9,4.20946463714784,8.52,24702029705.0926,7.336426070540168,15.1082541024723,4.02541488118247,276506804558.242,323218198016.355,14849.8539362105
